,coord_x,coord_y,city,canton,year,street_name,street_number,multiple_floors,num_rooms,area,kitchen,status,floor,longitude,latitude,street_safety_score
30,2740608.8,1251641.9,St. Gallen,SG,1968.0,Blériotweg,14,0,5,87.0,1.0,3004,4,9.30144683014344,47.40057763528721,19.273414936368894
31,2740608.8,1251641.9,St. Gallen,SG,1968.0,Blériotweg,14,0,4,81.0,1.0,3004,5,9.30144683014344,47.40057763528721,19.273414936368894
32,2740608.8,1251641.9,St. Gallen,SG,1968.0,Blériotweg,14,0,4,81.0,1.0,3004,6,9.30144683014344,47.40057763528721,19.273414936368894
33,2740608.8,1251641.9,St. Gallen,SG,1968.0,Blériotweg,14,0,4,81.0,1.0,3004,7,9.30144683014344,47.40057763528721,19.273414936368894
34,2740608.8,1251641.9,St. Gallen,SG,1968.0,Blériotweg,14,0,4,81.0,1.0,3004,8,9.30144683014344,47.40057763528721,19.273414936368894
35,2740600.0,1251859.0,St. Gallen,SG,2011.0,Herisauer Strasse,80,0,3,80.0,1.0,3004,1,9.301398544106142,47.40253161326672,19.273414936368894
36,2740600.0,1251859.0,St. Gallen,SG,2011.0,Herisauer Strasse,80,0,4,100.0,1.0,3004,2,9.301398544106142,47.40253161326672,19.273414936368894
37,2740600.0,1251859.0,St. Gallen,SG,2011.0,Herisauer Strasse,80,0,4,93.0,1.0,3004,3,9.301398544106142,47.40253161326672,19.273414936368894
38,2740600.0,1251859.0,St. Gallen,SG,2011.0,Herisauer Strasse,80,0,4,100.0,1.0,3004,4,9.301398544106142,47.40253161326672,19.273414936368894
39,2740600.0,1251859.0,St. Gallen,SG,2011.0,Herisauer Strasse,80,0,3,80.0,1.0,3004,5,9.301398544106142,47.40253161326672,19.273414936368894
40,2740600.0,1251859.0,St. Gallen,SG,2011.0,Herisauer Strasse,80,0,4,93.0,1.0,3004,6,9.301398544106142,47.40253161326672,19.273414936368894
41,2740600.0,1251859.0,St. Gallen,SG,2011.0,Herisauer Strasse,80,0,4,100.0,1.0,3004,7,9.301398544106142,47.40253161326672,19.273414936368894
42,2740600.0,1251859.0,St. Gallen,SG,2011.0,Herisauer Strasse,80,0,3,80.0,1.0,3004,8,9.301398544106142,47.40253161326672,19.273414936368894
43,2740600.0,1251859.0,St. Gallen,SG,2011.0,Herisauer Strasse,80,0,4,93.0,1.0,3004,9,9.301398544106142,47.40253161326672,19.273414936368894
44,2740484.6,1251669.9,St. Gallen,SG,1964.0,Gsellstrasse,21,0,3,74.0,1.0,3004,1,9.29981079678331,47.40085590579753,19.273414936368894
45,2740484.6,1251669.9,St. Gallen,SG,1964.0,Gsellstrasse,21,0,4,87.0,1.0,3004,2,9.29981079678331,47.40085590579753,19.273414936368894
46,2740484.6,1251669.9,St. Gallen,SG,1964.0,Gsellstrasse,21,0,3,74.0,1.0,3004,3,9.29981079678331,47.40085590579753,19.273414936368894
47,2740484.6,1251669.9,St. Gallen,SG,1964.0,Gsellstrasse,21,0,4,87.0,1.0,3004,4,9.29981079678331,47.40085590579753,19.273414936368894
48,2740484.6,1251669.9,St. Gallen,SG,1964.0,Gsellstrasse,21,0,3,74.0,1.0,3004,5,9.29981079678331,47.40085590579753,19.273414936368894
49,2740484.6,1251669.9,St. Gallen,SG,1964.0,Gsellstrasse,21,0,4,87.0,1.0,3004,6,9.29981079678331,47.40085590579753,19.273414936368894
50,2740715.7,1251792.5,St. Gallen,SG,2010.0,Altwinkelnstrasse,19,0,4,129.0,1.0,3004,1,9.302909933985134,47.40190895602983,18.81964510656548
51,2740715.7,1251792.5,St. Gallen,SG,2010.0,Altwinkelnstrasse,19,0,4,129.0,1.0,3004,2,9.302909933985134,47.40190895602983,18.81964510656548
52,2740715.7,1251792.5,St. Gallen,SG,2010.0,Altwinkelnstrasse,19,0,4,129.0,1.0,3004,3,9.302909933985134,47.40190895602983,18.81964510656548
53,2740715.7,1251792.5,St. Gallen,SG,2010.0,Altwinkelnstrasse,19,0,4,129.0,1.0,3004,4,9.302909933985134,47.40190895602983,18.81964510656548
