coord_x,coord_y,city,canton,year,street_name,street_number,multiple_floors,num_rooms,area,kitchen,status,floor,longitude,latitude
2742945.1,1252209.1,St. Gallen,SG,1973.0,Aetschbergstrasse,24a,1.0,5.0,190.0,1.0,3004,1,9.33256837729662,47.405174783796326
2742919.4,1252184.0,St. Gallen,SG,1973.0,Aetschbergstrasse,22c,1.0,6.0,110.0,1.0,3004,1,9.332219973175164,47.40495467193667
2742982.9,1252205.7,St. Gallen,SG,1972.0,Aetschbergstrasse,26b,1.0,6.0,120.0,1.0,3004,1,9.33306792873023,47.40513600683575
2742942.4,1252213.7,St. Gallen,SG,1973.0,Aetschbergstrasse,24,1.0,6.0,100.0,1.0,3004,1,9.332534087929936,47.405216731232976
2742842.6,1252213.4,St. Gallen,SG,1974.0,Aetschbergstrasse,19,1.0,7.0,157.0,1.0,3004,2,9.33121219829671,47.40523568714826
2742884.1,1252182.2,St. Gallen,SG,1974.0,Aetschbergstrasse,20b,1.0,5.0,140.0,1.0,3004,1,9.331751872097454,47.40494614645733
2742938.2,1252241.6,St. Gallen,SG,1976.0,Aetschbergstrasse,25,1.0,5.0,160.0,1.0,3004,1,9.332487380309425,47.405468508760265
2742837.6,1252220.1,St. Gallen,SG,1974.0,Aetschbergstrasse,19a,1.0,6.0,150.0,1.0,3004,1,9.331148116450848,47.40529701541206
2742880.3,1252188.0,St. Gallen,SG,1974.0,Aetschbergstrasse,20a,1.0,6.0,140.0,1.0,3004,1,9.331703396881489,47.40499912223611
2742887.8,1252175.8,St. Gallen,SG,1973.0,Aetschbergstrasse,20c,1.0,5.0,200.0,1.0,3004,1,9.33179883104787,47.40488779738454
2742865.0,1252236.7,St. Gallen,SG,1973.0,Aetschbergstrasse,21b,1.0,7.0,160.0,1.0,3004,1,9.331516318154545,47.405440332990025
2742964.2,1252264.6,St. Gallen,SG,1973.0,Aetschbergstrasse,27a,0.0,7.0,130.0,1.0,3004,1,9.332839090808726,47.4056696722757
2742964.2,1252264.6,St. Gallen,SG,1973.0,Aetschbergstrasse,27a,0.0,7.0,130.0,1.0,3004,2,9.332839090808726,47.4056696722757
2742876.3,1252194.4,St. Gallen,SG,1974.0,Aetschbergstrasse,20,1.0,5.0,120.0,1.0,3004,1,9.331652464412393,47.405057536350874
2742973.1,1252522.8,St. Gallen,SG,1918.0,Stationsstrasse,45,0.0,4.0,95.0,1.0,3004,1,9.333039532008952,47.4079893728253
2742973.1,1252522.8,St. Gallen,SG,1918.0,Stationsstrasse,45,0.0,3.0,95.0,1.0,3004,3,9.333039532008952,47.4079893728253
2742973.1,1252522.8,St. Gallen,SG,1918.0,Stationsstrasse,45,0.0,4.0,95.0,1.0,3004,4,9.333039532008952,47.4079893728253
2742957.0,1252519.2,St. Gallen,SG,1919.0,Stationsstrasse,43,0.0,4.0,71.0,1.0,3004,1,9.332825134635113,47.40796049818851
2742957.0,1252519.2,St. Gallen,SG,1919.0,Stationsstrasse,43,0.0,4.0,71.0,1.0,3004,2,9.332825134635113,47.40796049818851
