Geo Point;Geo Shape;Kategorie;Bezeichnung;Adresse;Ort;Land;PLZ;Information;Parkplatzart;Anzahl_Parkplätze
47.429066604194034,9.388611287696262;"{""coordinates"": [9.388611287696262, 47.429066604194034], ""type"": ""Point""}";Parkplätze, Parkhäuser;Bürgerspital St. Gallen;Rorschacher Strasse;St.Gallen;Schweiz;9000;Invalidenparkplatz: 2;Invalidenparkplatz;2.0
47.432485231762634,9.374430053229633;"{""coordinates"": [9.374430053229633, 47.432485231762634], ""type"": ""Point""}";Parkplätze, Parkhäuser;Uni;Guisanstrasse;St.Gallen;Schweiz;9010;Weiss (bewirtschaftet): 2;Weiss (bewirtschaftet);2.0
47.43653528110289,9.37265073838602;"{""coordinates"": [9.37265073838602, 47.43653528110289], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Waldgutstrasse;St.Gallen;Schweiz;9010;Erweiterte Blaue Zone: 4;Erweiterte Blaue Zone;4.0
47.40363936732857,9.300680127140403;"{""coordinates"": [9.300680127140403, 47.40363936732857], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Letzistrasse;St.Gallen;Schweiz;9015;Weiss (bewirtschaftet): 2;Weiss (bewirtschaftet);2.0
47.42245478935829,9.373032410055774;"{""coordinates"": [9.373032410055774, 47.42245478935829], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Schreinerstrasse;St.Gallen;Schweiz;9000;Weiss (bewirtschaftet): 2;Weiss (bewirtschaftet);2.0
47.43632390343121,9.387438852230982;"{""coordinates"": [9.387438852230982, 47.43632390343121], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Langgasse;St.Gallen;Schweiz;9008;Weiss (bewirtschaftet): 1;Weiss (bewirtschaftet);1.0
47.43667277752996,9.41535390831991;"{""coordinates"": [9.41535390831991, 47.43667277752996], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Reherstrasse;St.Gallen;Schweiz;9016;Erweiterte Blaue Zone: 4;Erweiterte Blaue Zone;4.0
47.41453048086608,9.39904762768852;"{""coordinates"": [9.39904762768852, 47.41453048086608], ""type"": ""Point""}";Parkplätze, Parkhäuser;;St.Georgen-Strasse;St.Gallen;Schweiz;9011;Erweiterte Blaue Zone: 4;Erweiterte Blaue Zone;4.0
47.40311122792818,9.337615402632247;"{""coordinates"": [9.337615402632247, 47.40311122792818], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Wolfgangstrasse;St.Gallen;Schweiz;9014;Erweiterte Blaue Zone: 3;Erweiterte Blaue Zone;3.0
47.4147109474896,9.38593574669499;"{""coordinates"": [9.38593574669499, 47.4147109474896], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Etzelbüntstrasse;St.Gallen;Schweiz;9011;Erweiterte Blaue Zone: 1;Erweiterte Blaue Zone;1.0
47.44377579684129,9.407537607895964;"{""coordinates"": [9.407537607895964, 47.44377579684129], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Zilstrasse;St.Gallen;Schweiz;9016;Erweiterte Blaue Zone: 3;Erweiterte Blaue Zone;3.0
47.43197638536801,9.379448253849466;"{""coordinates"": [9.379448253849466, 47.43197638536801], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Böcklinstrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 6;Erweiterte Blaue Zone;6.0
47.41830800822289,9.366005949694426;"{""coordinates"": [9.366005949694426, 47.41830800822289], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Unterstrasse;St.Gallen;Schweiz;9000;Weiss (bewirtschaftet): 1;Weiss (bewirtschaftet);1.0
47.41341953305092,9.339023820033052;"{""coordinates"": [9.339023820033052, 47.41341953305092], ""type"": ""Point""}";Parkplätze, Parkhäuser;Lidl Lerchenfeld (Eröffnung	19. März 2009);Lerchenfeldstrasse;St.Gallen;Schweiz;9014;Kundenparkplatz: 4;Kundenparkplatz;4.0
47.41034480976056,9.33760236851573;"{""coordinates"": [9.33760236851573, 47.41034480976056], ""type"": ""Point""}";Parkplätze, Parkhäuser;Parkanlage Aldi (Eröffnung	24. April 2008);Fürstenlandstrasse;St.Gallen;Schweiz;9014;Kundenparkplatz: 4;Kundenparkplatz;4.0
47.44314260542818,9.41645483402501;"{""coordinates"": [9.41645483402501, 47.44314260542818], ""type"": ""Point""}";Parkplätze, Parkhäuser;Parkanlage Aldi (Eröffnung	14.05.2007);Lerchentalstrasse;St.Gallen;Schweiz;9016;Invalidenparkplatz: 2;Invalidenparkplatz;2.0
47.412416161489006,9.367818363549715;"{""coordinates"": [9.367818363549715, 47.412416161489006], ""type"": ""Point""}";Parkplätze, Parkhäuser;Gewerbliches Berufs- und Weiterbildungszentrum GBS;Demutstrasse;St.Gallen;Schweiz;9012;Invalidenparkplatz: 1;Invalidenparkplatz;1.0
47.42315697352869,9.367679316114275;"{""coordinates"": [9.367679316114275, 47.42315697352869], ""type"": ""Point""}";Parkplätze, Parkhäuser;Cityparking Bahnhof (Fachhochschulzentrum);Rosenbergstrasse;St.Gallen;Schweiz;9000;Unterirdisch, Garage: 8;Unterirdisch, Garage;8.0
47.4369937621532,9.372480829267866;"{""coordinates"": [9.372480829267866, 47.4369937621532], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Primelweg;St.Gallen;Schweiz;9010;Erweiterte Blaue Zone: 2;Erweiterte Blaue Zone;2.0
47.42332587038036,9.374128121684063;"{""coordinates"": [9.374128121684063, 47.42332587038036], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Oberer Graben;St.Gallen;Schweiz;9000;Weiss (bewirtschaftet): 2;Weiss (bewirtschaftet);2.0
