"GEONR";"GEONAME";"CLASS_HAB";"VARIABLE";"VALUE";"STATUS"
"1061";"Luzern";5;"bew_mie_z1_t";2761;"A"
"1061";"Luzern";5;"bew_mie_z1_ic";0.1;"A"
"1061";"Luzern";5;"bew_mie_z2_t";6548;"A"
"1061";"Luzern";5;"bew_mie_z2_ic";0.1;"A"
"1061";"Luzern";5;"bew_mie_z3_t";20480;"A"
"1061";"Luzern";5;"bew_mie_z3_ic";;"N"
"1061";"Luzern";5;"bew_mie_z4_t";20946;"A"
"1061";"Luzern";5;"bew_mie_z4_ic";;"N"
"1061";"Luzern";5;"bew_mie_z5_t";5043;"A"
"1061";"Luzern";5;"bew_mie_z5_ic";0.1;"A"
"1061";"Luzern";5;"bew_mie_z6_t";956;"A"
"1061";"Luzern";5;"bew_mie_z6_ic";0.2;"A"
"3203";"St. Gallen";5;"bew_mie_t";48802;"A"
"3203";"St. Gallen";5;"bew_mie_t_ic";0.03;"A"
"3203";"St. Gallen";5;"bew_mie_z1_t";1989;"A"
"3203";"St. Gallen";5;"bew_mie_z1_ic";0.2;"A"
"3203";"St. Gallen";5;"bew_mie_z2_t";5967;"A"
"3203";"St. Gallen";5;"bew_mie_z2_ic";0.1;"A"
"3203";"St. Gallen";5;"bew_mie_z3_t";14281;"A"
"3203";"St. Gallen";5;"bew_mie_z3_ic";0.1;"A"
"3203";"St. Gallen";5;"bew_mie_z4_t";19494;"A"
"3203";"St. Gallen";5;"bew_mie_z4_ic";0.1;"A"
"3203";"St. Gallen";5;"bew_mie_z5_t";5959;"A"
"3203";"St. Gallen";5;"bew_mie_z5_ic";0.1;"A"
"3203";"St. Gallen";5;"bew_mie_z6_t";1113;"A"
"3203";"St. Gallen";5;"bew_mie_z6_ic";0.2;"A"
"4001";"Aarau";4;"bew_mie_t";10669;"A"
"4001";"Aarau";4;"bew_mie_t_ic";0.07;"A"
"4001";"Aarau";4;"bew_mie_z1_t";604;"U"
"4001";"Aarau";4;"bew_mie_z1_ic";0.3;"U"
"4001";"Aarau";4;"bew_mie_z2_t";1482;"A"
"4001";"Aarau";4;"bew_mie_z2_ic";0.2;"A"
"4001";"Aarau";4;"bew_mie_z3_t";3665;"A"
"4001";"Aarau";4;"bew_mie_z3_ic";0.1;"A"
"4001";"Aarau";4;"bew_mie_z4_t";3661;"A"
