Stationsnummer;ID;Verfügbare Fahrmodi  an der Station;Name;Beschreibung;Standort;Minimaldauer;Maximaldauer;Gültig seit;Gültig bis;Informationstext;Strasse;Hausnummer;PLZ;Ort;ID der Fahrzeugkategorie;Fahrzeugkategorie;Fahrmodus des Fahrzeugs;Fahrzeugtyp;Fahrzeugbeschreibung
4298;79633;"oneway;return";St. Gallen Bahnhof / Fachhochschule;"Der Mobility-Standort befindet sich ca. 100 m westlich der Fachhochschule auf dem Parkfeld unmittelbar an den Bahngeleisen. Von der westlichen Bahnhofunterführung aus die Rampe bei der Velostation benutzen und in gerader Linie weiter gehen. 
Per Auto: Autobahnausfahrt St. Gallen Kreuzbleiche. Im Schorentunnel die linke Spur nehmen und die der Signalisierung Zentrum folgen. Den Schorentunnel verlassen und die linke Spur nehmen Richtung Rorschach. Nach dem dritten Lichtsignal rechts in die Bahnhofvorfahrt abbiegen. Der Mobility-Standort befindet sich geradeaus auf der P+R-Anlage.";47.422,9.36666;60;16;2019-07-17;;Please use the marked Mobility parking bays. All other parking lots are rented and must not be used.;Lagerstrasse;;9000;St. Gallen;79293;1;return;Emotion;Die Kategorie für das besondere Fahrerlebnis. Die Autos sind mit neuesten Features ausgestattet, darunter Navigationssystem und Parksensoren. Farben: dezent, in der Regel nicht rot.
3108;70138;return;St. Gallen Kantonsspital;Bus bis Haltestelle St. Gallen Kantonsspital, der Hauptstrasse stadtauswärts auf der linken Seite folgen. Der Mobility-Standort befindet sich ca. 100 m östlich der Bushaltestelle, vor dem Haus 09 des Kantonsspital.;47.4301,9.38955;60;16;;;;Rorschacherstrasse;103;9000;St. Gallen;2305;2;return;Economy;Komfortable Kleinfahrzeuge mit Tempomat (5 Plätze) für kürzere und längere Strecken. Automaten oder handgeschaltete Modelle. Optimale Grösse für Wocheneinkauf.
4485;80287;return;St. Gallen Militärkantine / Eidg. Gerichte;Vom Hauptbahnhof Bus bis Haltestelle Stahl. Richtung Bahnhof zurücklaufen zum dominanten Gebäude der Militärkantine. Der Mobility-Standort befindet sich auf der anderen Gebäudeseite.;47.4209,9.36014;60;16;2017-05-12;;Upon leaving the vehicle park, please put pylon ond the parking space to secure your individual parking space.;Kreuzbleicheweg;2;9000;St. Gallen;2305;1;return;Economy;Komfortable Kleinfahrzeuge mit Tempomat (5 Plätze) für kürzere und längere Strecken. Automaten oder handgeschaltete Modelle. Optimale Grösse für Wocheneinkauf.
2635;71049;return;St. Gallen Tschudistrasse;Bus ab Bahnhof bis Haltestelle Ruckhalde. Bei der Kreuzung Oberstrasse/Vonwilstrasse bergwärts gehen. In die nächste Strasse (Tschudistrasse) links abbiegen. Der Mobility-Standort befindet sich nach ca. 150 m am westlichen Ende der Tschudistrasse, die parallel zur Oberstrasse verläuft.;47.4159,9.36337;60;16;;;;Tschudistrasse;43;9000;St. Gallen;2306;1;return;Combi;Allzweckautos für Reisen mit mehreren Personen und Gepäck oder für den Transport des Baumarkt-Einkaufs. Alle Fahrzeuge mit Tempomat und Navigationssystem.
4929;81308;return;St. Gallen Bahnhof / Appenzellerbahnen;Der Mobility-Standort befindet sich beim St. Galler Nebenbahnhof der Appenzeller Bahnen (Gaiserbahnhof)zwischen Gleis 12 und der St. Leonhardstrasse.;47.421719,9.368482;60;16;;;;Bahnhofplatz;7;9000;St. Gallen;83055;2;return;Economy Electro;
4298;79633;"oneway;return";St. Gallen Bahnhof / Fachhochschule;"Der Mobility-Standort befindet sich ca. 100 m westlich der Fachhochschule auf dem Parkfeld unmittelbar an den Bahngeleisen. Von der westlichen Bahnhofunterführung aus die Rampe bei der Velostation benutzen und in gerader Linie weiter gehen. 
Per Auto: Autobahnausfahrt St. Gallen Kreuzbleiche. Im Schorentunnel die linke Spur nehmen und die der Signalisierung Zentrum folgen. Den Schorentunnel verlassen und die linke Spur nehmen Richtung Rorschach. Nach dem dritten Lichtsignal rechts in die Bahnhofvorfahrt abbiegen. Der Mobility-Standort befindet sich geradeaus auf der P+R-Anlage.";47.422,9.36666;60;16;2019-07-17;;Please use the marked Mobility parking bays. All other parking lots are rented and must not be used.;Lagerstrasse;;9000;St. Gallen;2305;2;return;Economy;Komfortable Kleinfahrzeuge mit Tempomat (5 Plätze) für kürzere und längere Strecken. Automaten oder handgeschaltete Modelle. Optimale Grösse für Wocheneinkauf.
3108;70138;return;St. Gallen Kantonsspital;Bus bis Haltestelle St. Gallen Kantonsspital, der Hauptstrasse stadtauswärts auf der linken Seite folgen. Der Mobility-Standort befindet sich ca. 100 m östlich der Bushaltestelle, vor dem Haus 09 des Kantonsspital.;47.4301,9.38955;60;16;;;;Rorschacherstrasse;103;9000;St. Gallen;2313;1;return;Budget;Kompakte, funktionelle Autos (4 Plätze). Ideal für Kurzstrecken. Die günstigste Kategorie im Angebot.
1836;70595;return;St. Gallen Rotmonten;Bus Richtung Rotmonten bis Haltestelle Seeblick. 25 m in Fahrtrichtung gehen.  Bus bis Haltestelle Sonne. Links die Seeblickstrasse aufwärts gehen, dann links in die Ludwigstrasse abbiegen. Der Mobility-Standort befindet sich auf dem Parkplatz des Gebäudes Ludwigstrasse 6.;47.43963,9.37769;60;16;;;;Ludwigstrasse;6;9010;St. Gallen;2306;1;return;Combi;Allzweckautos für Reisen mit mehreren Personen und Gepäck oder für den Transport des Baumarkt-Einkaufs. Alle Fahrzeuge mit Tempomat und Navigationssystem.
1137;69699;return;St. Gallen St. Fiden Bahnhof;Der Mobility-Standort befindet sich auf dem Bahnhofparkplatz südlich der Geleise, welcher an die Stadtautobahn anschliesst. Vom Kiosk aus sichtbar (Richtung Stadtzentrum).;47.434173,9.392554;60;16;;;;Passerellenweg;;9000;St. Gallen;2306;1;return;Combi;Allzweckautos für Reisen mit mehreren Personen und Gepäck oder für den Transport des Baumarkt-Einkaufs. Alle Fahrzeuge mit Tempomat und Navigationssystem.
4842;81221;return;St. Gallen St. Leonhard / Geltenwilenstrasse;Ab Hauptbahnhof in Richtung Westen bis auf die Höhe der St. Leonhardsbrücke gehen und die Strasse überqueren. Der Mobility-Standort befindet sich auf der Rückseite des Gebäudes Geltenwilerstrasse 2 und ist über eine kleine Nebenstrasse beim Restaurant Gartenhaus zugänglich.;47.419865,9.366081;60;16;;;;Geltenwilenstrasse;2;9000;St. Gallen;2306;1;return;Combi;Allzweckautos für Reisen mit mehreren Personen und Gepäck oder für den Transport des Baumarkt-Einkaufs. Alle Fahrzeuge mit Tempomat und Navigationssystem.
4842;81221;return;St. Gallen St. Leonhard / Geltenwilenstrasse;Ab Hauptbahnhof in Richtung Westen bis auf die Höhe der St. Leonhardsbrücke gehen und die Strasse überqueren. Der Mobility-Standort befindet sich auf der Rückseite des Gebäudes Geltenwilerstrasse 2 und ist über eine kleine Nebenstrasse beim Restaurant Gartenhaus zugänglich.;47.419865,9.366081;60;16;;;;Geltenwilenstrasse;2;9000;St. Gallen;2313;1;return;Budget;Kompakte, funktionelle Autos (4 Plätze). Ideal für Kurzstrecken. Die günstigste Kategorie im Angebot.
1866;69868;return;St. Gallen Steingrüebli;Ab Haltestelle Singenberg der Singenbergstrasse Richtung Süden folgen und über die Kreuzung weiter in die Steingrüeblistrasse gehen. Der Mobility-Standort befindet sich auf dem Vorplatz des Holzgebäudes an der Steingrüeblistrasse 26.;47.426526,9.389111;60;16;;;;Steingrüeblistrasse;26;9000;St. Gallen;2313;1;return;Budget;Kompakte, funktionelle Autos (4 Plätze). Ideal für Kurzstrecken. Die günstigste Kategorie im Angebot.
